id,cost,customer_id,category
837,7075,963,Health & Beauty
3,3969,684,Toys & Games
889,9871,659,Food
66,626,548,Health & Beauty
672,5533,865,Health & Beauty
601,2206,496,Clothing
806,8215,125,Clothing
381,5834,304,Home & Kitchen
433,3363,85,Clothing
856,5116,85,Books
340,9178,296,Health & Beauty
1,5958,988,Home & Kitchen
824,6772,369,Home & Kitchen
196,3914,494,Books
84,766,398,Food
377,2186,641,Home & Kitchen
318,2136,204,Food
564,9560,35,Materials
269,5792,318,Food
675,3330,77,Food
997,9314,522,Food
832,7582,814,Toys & Games
424,1499,982,Home & Kitchen
103,4181,71,Materials
749,844,918,Health & Beauty
449,957,718,Materials
61,7631,822,Electronics
59,8306,288,Health & Beauty
356,1530,1,Electronics
281,2301,695,Books
