id,cost,customer_id,category
51,2675,110,Toys & Games
477,9567,587,Books
280,4182,350,Electronics
973,7735,547,Clothing
403,502,888,Toys & Games
161,1652,674,Electronics
905,8807,177,Toys & Games
609,1217,981,Toys & Games
30,4927,981,Clothing
721,5414,136,Home & Kitchen
19,4655,357,Books
901,2207,932,Health & Beauty
622,8138,918,Electronics
424,7269,269,Food
111,7073,108,Materials
50,9940,712,Electronics
797,641,510,Food
164,1948,868,Books
816,8530,83,Books
397,6729,392,Health & Beauty
311,3178,344,Home & Kitchen
861,7898,464,Food
23,5539,273,Clothing
915,2140,294,Clothing
388,4933,491,Food
983,8719,142,Toys & Games
60,1093,808,Clothing
689,5102,369,Books
304,2229,878,Materials
312,8125,692,Clothing
