id,cost,customer_id,category
855,5943,294,Home & Kitchen
545,1002,443,Health & Beauty
943,7517,30,Materials
416,1785,217,Clothing
74,9389,69,Clothing
134,848,429,Food
927,1765,185,Electronics
93,5988,183,Books
92,4361,377,Health & Beauty
141,2772,466,Health & Beauty
457,373,176,Electronics
96,5102,952,Materials
341,2733,284,Clothing
251,8904,89,Electronics
603,5040,925,Home & Kitchen
475,2208,283,Toys & Games
204,799,558,Clothing
357,7634,655,Materials
320,1778,865,Books
187,910,859,Clothing
787,5709,173,Food
248,8050,865,Health & Beauty
81,6741,745,Books
465,7980,151,Electronics
767,2150,757,Materials
943,2102,462,Electronics
847,3290,917,Toys & Games
959,5517,981,Health & Beauty
517,1068,764,Health & Beauty
305,8930,827,Health & Beauty
